payment_id,order_id,method,amount,paid_at
118,15,voucher,587.75,2024-05-15
119,332,voucher,565.88,2023-06-11
120,153,boleto,1346.21,2023-09-29
121,510,debito,584.13,2023-09-25
122,103,voucher,486.99,2023-08-02
123,382,pix,305.72,2024-03-31
124,305,debito,1927.71,2024-07-14
125,368,cartao_credito,1844.01,2023-07-29
126,68,pix,1957.49,2023-03-31
127,280,pix,2324.43,2024-06-08
128,376,pix,992.55,2024-06-23
129,205,voucher,2756.9,2024-08-15
130,525,debito,2204.95,2023-06-14
131,318,pix,2418.03,2024-04-01
132,218,debito,2168.47,2024-03-30
133,19,debito,1088.2,2024-05-16
134,102,boleto,863.44,2024-05-26
135,286,debito,1279.1,2024-08-27
136,241,voucher,309.15,2023-11-01
137,523,boleto,1364.82,2023-02-21
138,472,debito,148.56,2023-05-06
139,96,boleto,31.76,2024-07-16
140,355,cartao_credito,2795.87,2024-06-20
141,273,voucher,2074.22,2023-01-11
142,61,boleto,1694.3,2023-08-24
143,400,debito,1036.48,2023-06-08
144,323,debito,1720.2,2023-07-26
145,53,debito,2676.9,2024-02-11
146,281,debito,1964.09,2023-11-22
147,440,debito,1815.4,2023-11-03
148,197,boleto,1391.41,2023-10-06
149,215,debito,1050.18,2024-02-13
150,67,boleto,2101.67,2024-03-10
151,123,cartao_credito,2943.32,2023-02-01
152,589,debito,1285.78,2023-04-01
153,373,voucher,1188.77,2023-08-07
154,106,debito,1295.78,2023-10-06
155,290,debito,1288.12,2024-09-23
156,116,voucher,2972.06,2024-07-19
157,266,cartao_credito,2126.2,2024-02-17
158,88,pix,1090.37,2023-01-27
159,372,cartao_credito,1127.08,2023-03-09
160,343,debito,1303.77,2023-10-20
161,381,voucher,129.4,2024-01-09
162,267,boleto,1592.89,2024-02-25
163,172,debito,2437.92,2023-04-04
164,150,pix,1988.49,2024-07-17
165,130,debito,611.29,2023-11-11
166,258,debito,2189.54,2024-01-14
167,271,boleto,2163.99,2023-01-29
168,405,debito,802.37,2024-06-07
169,32,boleto,1876.17,2023-12-13
170,170,boleto,1840.63,2023-05-25
171,512,debito,2522.57,2023-07-24
172,550,debito,425.5,2023-08-15
173,559,cartao_credito,600.62,2023-01-22
174,184,cartao_credito,1468.19,2024-08-20
175,83,boleto,151.55,2024-05-24
176,119,cartao_credito,1258.47,2024-07-16
177,80,cartao_credito,2368.89,2023-08-15
178,573,cartao_credito,463.17,2023-12-22
179,531,cartao_credito,1390.65,2023-10-20
180,487,boleto,2969.51,2023-10-31
181,438,boleto,1527.64,2024-01-11
182,206,debito,1505.0,2023-10-16
183,286,cartao_credito,1685.2,2024-05-06
184,505,voucher,574.29,2023-02-11
185,489,boleto,458.55,2023-05-06
186,312,debito,2038.52,2024-07-20
187,503,pix,1199.39,2024-07-13
188,209,pix,883.92,2024-06-03
189,249,boleto,113.55,2023-08-25
190,504,cartao_credito,2541.23,2023-10-19
191,226,boleto,116.34,2023-01-20
192,452,pix,2254.95,2023-06-30
193,272,boleto,1158.33,2024-04-06
194,179,debito,1804.09,2023-08-09
195,132,debito,758.08,2023-11-03
196,365,cartao_credito,483.09,2023-03-23
197,288,cartao_credito,1609.5,2023-11-13
198,222,boleto,2092.94,2024-04-03
199,446,boleto,602.57,2023-12-31
200,1,debito,1320.35,2023-12-21
201,56,cartao_credito,1345.07,2024-08-03
202,578,debito,663.62,2023-06-01
203,399,voucher,1703.85,2023-07-12
204,330,cartao_credito,454.89,2024-02-01
205,9,voucher,1539.05,2023-11-03
206,360,cartao_credito,358.03,2024-09-12
207,261,cartao_credito,1466.92,2023-02-11
208,360,debito,948.57,2023-03-23
209,25,debito,1367.69,2023-08-08
210,331,boleto,1312.57,2023-10-20
211,347,cartao_credito,2725.64,2024-07-18
212,175,pix,1480.01,2023-11-12
213,33,voucher,2459.13,2023-10-07
214,583,voucher,692.44,2023-04-20
215,426,voucher,1069.21,2023-10-05
216,374,boleto,243.77,2023-12-05
217,461,voucher,1273.83,2024-01-07
218,403,boleto,2012.73,2024-01-21
219,81,pix,2517.74,2023-10-02
220,273,pix,1706.43,2023-04-14
221,534,cartao_credito,1927.42,2023-04-11
222,173,cartao_credito,548.26,2023-04-12
223,584,voucher,130.87,2024-01-29
224,39,cartao_credito,2379.23,2024-06-27
225,199,debito,517.77,2024-07-14
226,211,cartao_credito,291.69,2023-07-20
227,371,debito,2813.94,2023-02-24
228,106,boleto,2891.29,2024-02-06
229,138,pix,1856.45,2023-01-29
230,398,boleto,1148.34,2024-02-03
231,171,pix,2503.05,2023-09-03
232,528,voucher,630.07,2024-06-16
233,523,debito,1299.59,2024-02-02
234,182,voucher,1083.91,2024-04-15
235,336,voucher,2739.85,2023-09-17
236,200,cartao_credito,2760.94,2024-06-17
237,207,debito,1959.64,2023-12-01
238,403,pix,350.01,2024-02-02
239,176,voucher,1456.93,2023-08-20
240,90,debito,751.08,2023-10-15
241,156,debito,2657.05,2024-06-17
242,558,voucher,432.44,2023-09-09
243,156,voucher,181.84,2023-01-18
244,219,voucher,2119.2,2023-08-31
245,378,pix,1370.79,2023-09-08
246,61,pix,2518.33,2023-09-25
247,162,voucher,242.4,2023-02-18
248,105,cartao_credito,2407.21,2023-03-27
249,555,boleto,131.26,2023-07-28
250,560,pix,103.65,2023-09-29
251,454,debito,1394.72,2023-01-23
252,149,voucher,679.45,2023-09-07
253,370,voucher,1789.28,2023-07-25
254,398,boleto,96.93,2023-01-26
255,522,debito,125.46,2023-06-11
256,94,boleto,2186.9,2023-06-27
257,442,boleto,646.29,2023-04-05
258,117,boleto,1976.12,2024-04-22
259,342,voucher,2254.77,2023-02-19
260,528,cartao_credito,196.81,2024-01-04
261,38,boleto,2313.87,2024-02-28
262,89,debito,819.9,2024-05-26
263,488,boleto,1180.85,2023-12-14
264,12,pix,278.18,2023-12-12
265,412,cartao_credito,2519.12,2024-04-28
266,301,debito,1690.97,2024-06-26
267,208,debito,1523.9,2023-05-17
268,518,debito,2906.29,2024-05-20
269,510,voucher,1016.83,2023-10-23
270,196,debito,2674.52,2023-03-07
271,3,boleto,2164.67,2024-01-25
272,77,cartao_credito,2787.01,2024-09-11
273,65,cartao_credito,2725.25,2023-04-03
274,590,voucher,2973.27,2023-01-14
275,359,boleto,412.4,2024-08-04
276,407,debito,2392.13,2024-01-16
277,139,pix,2417.39,2023-05-23
278,511,pix,1940.23,2024-05-18
279,434,cartao_credito,851.01,2023-09-10
280,452,pix,2896.14,2023-08-02
281,281,debito,629.18,2023-07-06
282,419,debito,1508.73,2024-01-17
283,327,boleto,1574.03,2023-03-30
284,231,cartao_credito,502.25,2023-08-21
285,357,boleto,2173.14,2023-07-16
286,195,pix,284.82,2023-02-12
287,572,boleto,2085.43,2024-04-29
288,431,pix,2548.87,2023-01-10
289,444,pix,1061.2,2024-08-31
290,431,pix,2134.07,2023-03-05
291,270,pix,487.19,2023-08-18
292,571,boleto,2540.93,2023-03-07
293,125,boleto,2857.05,2023-08-24
294,342,debito,475.03,2024-01-24
295,42,boleto,2081.74,2023-03-01
296,177,pix,1527.38,2023-12-02
297,345,pix,1603.87,2024-05-05
298,294,debito,2125.34,2023-10-18
299,565,voucher,1476.45,2023-03-16
300,369,cartao_credito,1808.97,2024-03-15
301,247,cartao_credito,708.09,2023-05-02
302,257,cartao_credito,1147.95,2023-01-15
303,367,cartao_credito,2598.42,2023-10-07
304,475,cartao_credito,347.51,2023-06-24
305,166,boleto,1800.77,2023-01-22
306,351,debito,569.18,2024-05-08
307,345,debito,2542.69,2024-01-17
308,6,voucher,1745.55,2024-07-31
309,548,cartao_credito,1221.09,2023-11-03
310,342,boleto,764.48,2023-10-08
311,146,cartao_credito,1321.8,2024-06-18
312,381,pix,2873.68,2023-02-25
313,407,cartao_credito,1537.44,2023-08-20
314,550,cartao_credito,1419.08,2024-05-22
315,21,boleto,2243.9,2023-07-08
316,249,pix,1149.56,2024-07-15
317,109,debito,1293.72,2023-07-02
318,345,voucher,1024.1,2023-09-22
319,301,voucher,469.74,2024-07-23
320,285,pix,2147.15,2023-06-07
321,590,pix,2621.63,2024-09-05
322,319,voucher,2718.67,2023-02-01
323,247,voucher,2644.79,2023-06-21
324,41,boleto,1366.32,2024-01-12
325,174,cartao_credito,866.52,2024-01-14
326,539,boleto,1921.01,2024-07-31
327,272,boleto,2865.02,2024-08-31
328,547,voucher,2186.61,2024-03-07
329,320,boleto,1494.65,2024-02-24
330,329,pix,2072.65,2023-07-23
331,258,debito,2322.16,2024-05-26
332,334,debito,2759.42,2024-02-14
333,41,cartao_credito,2294.38,2023-01-20
334,35,pix,1310.91,2024-06-12
335,286,pix,835.35,2023-08-19
336,359,voucher,1509.65,2023-10-31
337,331,boleto,997.97,2023-11-07
338,258,boleto,2829.44,2024-06-04
339,177,voucher,1533.74,2023-06-22
340,426,pix,1426.73,2023-09-08
341,363,cartao_credito,1057.62,2023-01-29
342,29,voucher,1925.43,2023-08-12
343,272,boleto,1569.75,2023-03-01
344,427,pix,404.57,2024-01-07
345,471,debito,2610.24,2024-07-20
346,173,pix,1089.86,2023-10-24
347,555,debito,1309.08,2024-08-01
348,392,debito,632.89,2024-09-11
349,263,voucher,1669.13,2023-02-07
350,377,boleto,2112.12,2023-11-26
351,523,cartao_credito,2645.87,2023-12-03
352,137,voucher,173.79,2023-09-04
353,91,boleto,2920.53,2024-06-11
354,265,debito,2117.38,2023-09-10
355,51,pix,867.21,2023-02-08
356,502,debito,629.33,2023-12-16
357,583,boleto,902.34,2023-05-12
358,364,cartao_credito,2629.66,2023-08-16
359,588,debito,888.34,2023-11-17
360,42,pix,1399.21,2024-04-04
361,380,debito,2123.1,2023-06-29
362,266,voucher,2618.53,2023-09-01
363,167,boleto,1982.54,2023-02-16
364,188,pix,2264.27,2023-09-04
365,328,boleto,536.51,2024-01-05
366,385,boleto,2634.68,2024-01-28
367,99,boleto,841.64,2023-07-08
368,369,cartao_credito,402.57,2023-02-12
369,556,debito,2929.21,2024-01-03
370,7,cartao_credito,620.89,2024-02-21
371,528,boleto,427.22,2023-02-27
372,365,boleto,1885.54,2023-11-19
373,206,debito,970.21,2023-03-05
374,441,debito,417.38,2023-10-17
375,371,voucher,1811.34,2024-02-12
376,462,debito,2281.78,2024-04-02
377,49,debito,2383.73,2024-03-29
378,36,voucher,483.43,2024-04-26
379,386,cartao_credito,1679.46,2023-06-05
380,183,cartao_credito,2444.76,2024-06-21
381,143,boleto,500.04,2023-08-13
382,253,boleto,638.89,2023-08-29
383,436,debito,27.19,2024-05-15
384,108,pix,1583.41,2023-07-30
385,584,pix,600.15,2023-02-21
386,253,debito,2178.24,2024-03-30
387,91,voucher,2887.4,2024-02-26
388,43,cartao_credito,642.09,2024-01-06
389,515,cartao_credito,1954.31,2023-04-05
390,68,boleto,651.27,2024-02-07
391,252,boleto,73.66,2023-05-09
392,402,pix,2280.49,2023-12-20
393,308,boleto,1313.33,2023-11-20
394,158,voucher,2841.42,2024-05-05
395,65,debito,1612.17,2024-09-11
396,427,voucher,489.3,2023-05-04
397,295,debito,1360.33,2023-03-18
398,29,voucher,624.62,2023-12-21
399,109,cartao_credito,2636.53,2024-08-26
400,338,pix,2078.89,2023-04-14
401,102,pix,1036.89,2023-11-08
402,235,voucher,1592.9,2023-09-18
403,75,debito,2015.05,2023-07-24
404,479,cartao_credito,2352.92,2024-02-27
405,379,voucher,258.84,2023-07-10
406,471,cartao_credito,87.11,2023-11-11
407,32,boleto,361.07,2024-06-20
408,226,cartao_credito,1197.09,2023-09-01
409,161,pix,1410.79,2023-01-18
410,374,cartao_credito,426.66,2024-07-15
411,493,cartao_credito,1245.24,2023-06-26
412,137,boleto,1336.04,2024-05-05
413,462,pix,345.09,2024-04-29
414,349,cartao_credito,2751.65,2023-12-02
415,495,boleto,1805.45,2023-03-01
416,49,cartao_credito,1177.84,2024-08-25
417,595,debito,1530.58,2024-03-08
418,261,debito,956.31,2023-09-29
419,169,voucher,2565.91,2024-06-25
420,110,voucher,1733.54,2024-05-15
421,591,cartao_credito,1494.79,2024-04-27
422,531,debito,2734.44,2023-04-20
423,79,debito,2517.18,2024-02-07
424,267,boleto,2442.15,2023-07-04
425,441,debito,692.32,2023-02-23
426,355,pix,476.31,2023-08-05
427,114,cartao_credito,2076.49,2023-03-11
428,217,voucher,1416.55,2023-03-12
429,221,voucher,2057.46,2024-04-07
430,174,pix,2286.67,2023-11-17
431,577,boleto,900.03,2023-09-12
432,122,cartao_credito,868.26,2023-05-06
433,424,pix,1482.68,2024-05-04
434,548,pix,835.18,2024-02-08
435,477,boleto,2008.54,2024-01-08
436,480,debito,2245.26,2023-05-04
437,96,boleto,1426.68,2023-03-23
438,80,cartao_credito,2176.92,2023-03-23
439,470,debito,1541.1,2023-01-20
440,449,debito,2144.36,2024-09-06
441,446,voucher,690.41,2023-08-24
442,252,cartao_credito,2221.75,2024-02-23
443,315,cartao_credito,2151.07,2024-09-14
444,10,boleto,814.49,2024-08-16
445,175,boleto,1676.79,2023-07-25
446,318,boleto,2568.83,2023-11-09
447,76,voucher,763.58,2023-10-23
448,79,pix,2213.22,2023-01-26
449,28,boleto,2862.82,2024-05-03
450,126,boleto,2601.4,2024-01-01
451,596,cartao_credito,1216.53,2023-08-27
452,418,debito,1829.48,2023-12-22
453,569,voucher,2975.48,2024-04-12
454,155,boleto,1713.94,2023-01-14
455,360,pix,362.78,2024-02-16
456,536,pix,155.38,2024-06-30
457,212,boleto,2375.14,2024-04-06
458,395,debito,1282.41,2024-01-30
459,416,cartao_credito,755.5,2023-03-03
460,500,cartao_credito,1056.06,2024-04-18
461,582,voucher,2276.97,2024-04-21
462,370,pix,1406.44,2023-11-12
463,350,pix,2608.13,2024-01-07
464,522,pix,2210.08,2024-01-29
465,411,voucher,2922.56,2023-03-22
466,218,boleto,2667.74,2023-06-16
467,379,pix,778.55,2024-05-18
468,330,cartao_credito,1984.0,2024-09-09
469,138,voucher,81.22,2023-06-24
470,310,debito,2973.5,2023-09-14
471,375,cartao_credito,797.8,2024-08-03
472,543,cartao_credito,2001.09,2023-04-17
473,349,pix,2550.48,2023-06-18
474,99,debito,498.18,2023-02-09
475,593,pix,2546.68,2023-06-01
476,347,cartao_credito,56.49,2024-02-09
477,173,cartao_credito,1337.09,2023-08-12
478,453,debito,1426.67,2024-09-15
479,231,debito,1134.79,2024-07-19
480,223,debito,1767.43,2024-07-22
481,504,cartao_credito,2746.23,2024-04-06
482,521,cartao_credito,994.43,2024-03-22
483,315,cartao_credito,1746.19,2023-11-22
484,224,pix,2634.84,2024-09-20
485,518,debito,2323.53,2023-03-06
486,104,boleto,141.39,2024-04-04
487,449,boleto,2829.52,2023-04-03
488,351,voucher,159.01,2023-08-06
489,513,pix,1774.5,2023-06-15
490,253,voucher,1734.55,2024-01-18
491,500,debito,2363.44,2024-05-14
492,10,cartao_credito,462.36,2023-02-24
493,455,debito,554.52,2024-01-19
494,42,debito,2261.28,2023-05-24
495,386,cartao_credito,465.52,2023-02-22
496,118,cartao_credito,1418.95,2023-09-25
497,579,voucher,2200.31,2024-01-06
498,462,pix,1960.7,2023-05-12
499,63,pix,647.6,2023-09-07
500,536,debito,925.8,2024-08-27
501,152,voucher,2907.55,2023-08-11
502,328,boleto,1357.04,2024-09-23
503,52,pix,152.48,2024-06-13
504,64,boleto,674.36,2023-08-26
505,145,cartao_credito,1040.46,2024-01-03
506,321,voucher,2998.48,2024-03-26
507,326,debito,922.02,2023-10-24
508,514,cartao_credito,98.66,2023-09-18
509,100,debito,1548.51,2023-07-31
510,450,debito,269.14,2023-04-02
511,4,debito,836.72,2023-01-20
512,175,cartao_credito,2977.3,2023-08-05
513,106,boleto,2119.82,2024-05-20
514,75,pix,170.99,2023-06-01
515,351,boleto,1357.09,2023-04-28
516,541,cartao_credito,531.48,2023-07-30
517,401,boleto,386.38,2024-01-17
518,513,voucher,1769.45,2023-05-20
519,355,voucher,1526.85,2023-05-23
520,33,boleto,2233.74,2023-03-16
521,208,debito,2679.07,2023-08-02
522,495,pix,755.11,2023-05-21
523,27,boleto,2770.52,2024-06-11
524,59,debito,1563.62,2024-07-28
525,501,debito,791.33,2023-08-26
526,38,voucher,2540.44,2023-02-27
527,576,boleto,125.88,2023-03-01
528,456,voucher,1687.34,2023-07-28
529,400,voucher,2170.43,2023-10-23
530,322,boleto,854.33,2023-12-03
531,54,pix,2593.21,2023-07-15
532,249,cartao_credito,736.05,2023-08-16
533,485,debito,2522.83,2023-07-02
534,543,boleto,254.06,2023-11-27
535,269,voucher,496.58,2024-03-19
536,504,voucher,1155.33,2023-02-01
537,466,pix,2565.09,2023-11-02
538,35,voucher,450.86,2024-02-17
539,373,cartao_credito,2628.81,2024-03-03
540,370,voucher,704.6,2023-12-25
541,326,boleto,1368.48,2023-12-01
542,464,boleto,1071.15,2024-03-09
543,534,pix,372.02,2023-08-31
544,331,pix,2834.04,2023-12-28
545,193,boleto,1325.77,2023-07-25
546,590,boleto,2077.19,2023-10-07
547,579,boleto,1734.3,2023-03-24
548,412,pix,1515.11,2023-08-13
549,385,boleto,1857.4,2023-04-04
550,63,pix,2697.06,2023-05-27
551,241,pix,2103.95,2023-09-26
552,119,boleto,1606.79,2023-11-16
553,309,debito,1942.65,2024-08-20
554,496,debito,1827.05,2023-01-21
555,135,voucher,1310.7,2024-07-24
556,599,voucher,1881.8,2023-07-30
557,78,cartao_credito,1341.84,2024-04-05
558,60,debito,2277.69,2024-03-07
559,585,pix,2907.36,2024-09-07
560,61,voucher,2880.4,2023-03-14
561,442,cartao_credito,2465.79,2024-09-05
562,459,debito,1813.24,2023-02-13
563,199,voucher,2253.01,2024-07-10
564,39,debito,550.58,2024-02-19
565,186,voucher,1447.48,2023-11-04
566,42,pix,786.77,2023-09-12
567,404,pix,30.42,2023-03-04
568,534,debito,2900.88,2024-05-24
569,599,boleto,2594.27,2024-04-07
570,481,pix,1550.82,2024-08-17
571,465,debito,777.37,2024-04-09
572,529,pix,2085.07,2024-08-29
573,462,voucher,1315.71,2024-07-16
574,391,pix,2413.98,2023-09-30
575,598,boleto,2998.56,2024-03-23
576,194,voucher,1060.27,2023-06-20
577,248,boleto,748.32,2024-05-19
578,544,debito,816.8,2024-01-23
579,187,debito,298.17,2023-10-09
580,180,voucher,1194.26,2024-02-04
