order_id,customer_id,order_date,status
143,193,2023-07-13,novo
144,131,2024-07-15,finalizado
145,84,2024-05-09,pago
146,194,2024-07-31,enviado
147,22,2023-03-09,novo
148,197,2024-09-22,pago
149,31,2024-01-28,cancelado
150,58,2024-09-20,pago
151,165,2023-08-16,novo
152,147,2024-09-01,enviado
153,195,2024-01-12,novo
154,150,2023-02-15,pago
155,128,2023-09-20,enviado
156,70,2023-03-30,enviado
157,1,2024-08-25,cancelado
158,25,2023-07-14,cancelado
159,60,2023-05-23,finalizado
160,9,2023-12-20,novo
161,102,2023-09-30,pago
162,156,2023-03-04,novo
163,193,2024-06-06,novo
164,98,2024-06-25,pago
165,176,2024-04-20,enviado
166,198,2024-01-30,finalizado
167,172,2023-09-15,cancelado
168,93,2023-12-14,cancelado
169,66,2023-11-30,cancelado
170,196,2023-04-16,novo
171,49,2023-02-22,finalizado
172,83,2023-06-12,finalizado
173,15,2023-10-18,novo
174,159,2023-04-13,enviado
175,130,2023-03-10,finalizado
176,17,2024-06-29,enviado
177,45,2023-08-28,finalizado
178,112,2024-01-09,finalizado
179,109,2023-12-02,enviado
180,161,2024-04-15,novo
181,54,2024-04-18,pago
182,185,2023-07-09,pago
183,89,2024-06-26,enviado
184,165,2023-08-26,enviado
185,48,2024-06-18,enviado
186,8,2023-09-17,novo
187,12,2023-03-13,pago
188,75,2024-05-01,cancelado
189,191,2023-01-20,novo
190,10,2024-05-09,pago
191,74,2023-01-28,finalizado
192,22,2023-05-13,novo
193,187,2024-01-22,enviado
194,136,2024-08-25,pago
195,153,2023-09-19,novo
196,143,2023-03-19,enviado
197,132,2023-05-30,enviado
198,155,2024-07-27,novo
199,2,2024-04-10,novo
200,174,2023-03-06,novo
201,148,2023-09-04,cancelado
202,148,2023-06-19,finalizado
203,79,2023-04-24,novo
204,161,2024-06-25,pago
205,77,2024-01-31,pago
206,10,2023-04-25,pago
207,182,2024-02-21,pago
208,47,2023-09-22,novo
209,21,2023-02-09,enviado
210,125,2023-10-15,pago
211,47,2023-04-29,pago
212,172,2023-06-06,pago
213,89,2024-07-16,finalizado
214,1,2024-03-30,cancelado
215,191,2023-03-27,enviado
216,103,2024-06-28,pago
217,53,2024-01-03,finalizado
218,136,2024-07-13,finalizado
219,107,2024-04-23,novo
220,6,2023-08-06,finalizado
221,152,2023-12-09,cancelado
222,81,2023-12-06,novo
223,140,2024-04-05,cancelado
224,180,2023-06-08,novo
225,123,2023-08-02,novo
226,135,2023-06-06,novo
227,51,2023-07-09,enviado
228,48,2023-04-14,cancelado
229,84,2023-01-24,enviado
230,171,2024-08-24,novo
231,105,2023-02-17,novo
232,70,2024-07-22,finalizado
233,156,2023-01-02,finalizado
234,171,2024-05-12,cancelado
235,181,2023-07-30,novo
236,60,2023-11-28,finalizado
237,142,2023-06-30,cancelado
238,119,2023-11-10,enviado
239,90,2023-10-16,novo
240,80,2023-12-06,finalizado
241,23,2023-09-09,enviado
242,55,2023-12-10,novo
243,110,2024-06-12,pago
244,178,2023-10-06,enviado
245,174,2023-08-20,novo
246,38,2023-03-26,pago
247,136,2023-08-19,enviado
248,17,2023-03-22,finalizado
249,136,2023-04-27,novo
250,69,2024-09-01,enviado
251,90,2023-02-27,finalizado
252,144,2023-11-05,finalizado
253,85,2024-06-17,finalizado
254,162,2024-09-02,novo
255,107,2023-04-04,finalizado
256,200,2023-04-15,finalizado
257,128,2023-08-27,pago
258,60,2023-12-21,enviado
259,156,2024-09-06,enviado
260,82,2023-05-13,enviado
261,107,2023-04-16,pago
262,28,2023-06-12,finalizado
263,24,2024-07-13,finalizado
264,115,2023-01-20,pago
265,38,2023-09-01,finalizado
266,200,2023-03-18,pago
267,172,2023-04-11,cancelado
268,141,2024-08-09,enviado
269,147,2023-01-02,enviado
270,120,2023-07-25,novo
271,13,2024-08-08,cancelado
272,79,2024-01-25,pago
273,100,2023-02-15,pago
274,184,2023-10-25,novo
275,44,2024-09-13,finalizado
276,100,2023-09-14,novo
277,69,2023-12-05,cancelado
278,27,2023-12-07,finalizado
279,21,2024-02-27,novo
280,74,2023-04-30,enviado
281,17,2024-06-21,enviado
282,14,2024-09-24,pago
283,71,2023-04-02,cancelado
284,41,2024-06-07,enviado
285,111,2024-06-06,enviado
286,4,2024-04-19,enviado
287,61,2023-08-26,finalizado
288,91,2023-10-28,cancelado
289,193,2024-06-21,pago
290,127,2023-04-08,finalizado
291,177,2024-06-14,finalizado
292,69,2024-08-12,finalizado
293,90,2024-03-12,cancelado
294,85,2023-08-07,pago
295,178,2023-12-24,cancelado
296,192,2023-02-02,pago
297,193,2024-08-19,pago
298,151,2023-08-08,enviado
299,101,2023-02-06,finalizado
300,109,2024-05-23,enviado
301,197,2024-02-25,pago
302,57,2024-02-03,enviado
303,70,2023-02-04,pago
304,180,2024-04-25,cancelado
305,78,2024-02-12,pago
306,48,2024-05-22,enviado
307,113,2024-06-13,pago
308,66,2023-05-16,pago
309,179,2023-05-15,finalizado
310,182,2024-08-14,pago
311,62,2023-12-06,novo
312,106,2023-10-08,pago
313,197,2023-07-03,enviado
314,149,2024-02-13,novo
315,44,2024-04-27,pago
316,119,2023-01-02,novo
317,124,2023-12-20,enviado
318,131,2024-09-27,cancelado
319,6,2023-06-29,finalizado
320,60,2023-06-29,pago
321,171,2024-07-16,finalizado
322,49,2023-02-09,pago
323,60,2023-09-12,cancelado
324,65,2023-10-21,enviado
325,36,2024-05-25,cancelado
326,32,2023-03-24,cancelado
327,70,2023-10-05,enviado
328,175,2023-04-08,pago
329,1,2024-05-19,enviado
330,57,2024-02-09,finalizado
331,13,2023-11-14,finalizado
332,113,2023-09-09,finalizado
333,51,2023-04-09,novo
334,159,2024-08-12,enviado
335,118,2024-02-19,novo
336,157,2023-07-24,cancelado
337,127,2023-09-22,finalizado
338,88,2024-04-09,novo
339,173,2024-04-05,cancelado
340,96,2023-10-23,finalizado
341,190,2023-07-13,finalizado
342,199,2024-02-27,pago
343,118,2024-02-26,novo
344,135,2024-01-19,finalizado
345,52,2023-02-16,finalizado
346,163,2023-10-30,enviado
347,135,2024-01-28,finalizado
348,181,2024-08-31,novo
349,54,2023-12-03,cancelado
350,158,2023-08-08,novo
351,95,2023-12-22,finalizado
352,38,2023-04-24,cancelado
353,35,2023-02-28,finalizado
354,113,2024-03-09,enviado
355,64,2024-09-23,novo
356,21,2024-06-25,novo
357,86,2024-01-09,pago
358,131,2023-01-26,cancelado
359,64,2024-09-24,novo
360,192,2023-10-15,finalizado
361,156,2023-07-05,pago
362,103,2024-07-25,enviado
363,187,2024-04-22,pago
364,87,2024-04-24,enviado
365,28,2023-06-27,enviado
366,8,2024-09-26,novo
367,188,2023-10-17,enviado
368,192,2023-12-07,cancelado
369,148,2024-04-25,finalizado
370,21,2024-02-27,pago
371,59,2023-04-21,finalizado
372,9,2023-07-13,finalizado
373,11,2023-08-20,finalizado
374,50,2024-08-29,pago
375,115,2024-04-02,finalizado
376,14,2023-08-23,enviado
377,197,2024-04-15,novo
378,92,2024-04-17,pago
379,53,2023-09-10,cancelado
380,104,2023-09-16,novo
381,159,2024-07-26,enviado
382,63,2023-12-26,cancelado
383,10,2023-04-06,novo
384,11,2024-04-05,enviado
385,171,2024-01-13,pago
386,23,2023-11-22,enviado
387,128,2024-04-09,pago
388,77,2024-08-03,finalizado
389,156,2023-07-31,novo
390,13,2023-09-26,finalizado
391,180,2023-05-02,cancelado
392,140,2024-02-19,finalizado
393,90,2023-09-15,finalizado
394,42,2023-08-08,novo
395,196,2024-03-21,finalizado
396,61,2023-09-19,enviado
397,99,2023-10-25,finalizado
398,79,2023-10-09,finalizado
399,47,2023-06-15,enviado
400,84,2023-03-22,pago
401,31,2024-06-13,novo
402,1,2023-02-28,novo
403,58,2023-07-27,pago
404,23,2024-03-03,finalizado
405,83,2023-03-26,enviado
406,173,2024-02-24,enviado
407,33,2024-04-14,pago
408,1,2024-02-29,enviado
409,23,2023-07-15,cancelado
410,102,2023-01-13,finalizado
411,55,2024-07-21,cancelado
412,98,2023-07-28,cancelado
413,6,2024-05-30,finalizado
414,67,2023-05-07,enviado
415,83,2023-04-14,finalizado
416,87,2024-05-13,pago
417,111,2024-08-24,novo
418,157,2024-07-04,enviado
419,94,2024-04-25,novo
420,169,2023-06-07,novo
421,106,2024-08-07,finalizado
422,53,2024-03-03,cancelado
423,46,2023-04-21,pago
424,65,2023-03-24,finalizado
425,120,2024-07-11,novo
426,49,2023-06-26,pago
427,183,2024-05-05,cancelado
428,96,2023-03-30,pago
429,173,2023-06-29,cancelado
430,137,2023-07-01,finalizado
431,67,2023-06-29,novo
432,46,2024-03-07,novo
433,149,2024-08-08,finalizado
434,67,2024-08-05,enviado
435,50,2024-04-19,enviado
436,187,2023-05-10,enviado
437,97,2024-09-06,enviado
438,10,2023-12-13,cancelado
439,99,2023-12-16,enviado
440,93,2024-03-24,novo
441,173,2024-05-07,cancelado
442,143,2024-09-01,cancelado
443,39,2024-01-08,novo
444,31,2024-01-26,pago
445,121,2024-04-22,cancelado
446,10,2023-06-13,cancelado
447,64,2023-07-16,novo
448,28,2024-02-05,novo
449,5,2023-02-11,enviado
450,184,2023-07-25,enviado
451,18,2024-04-04,finalizado
452,2,2024-09-16,enviado
453,187,2023-11-29,finalizado
454,38,2023-09-13,pago
455,164,2023-10-09,enviado
456,7,2024-03-14,novo
457,31,2023-12-15,enviado
458,23,2023-01-15,novo
459,142,2023-12-12,enviado
460,125,2023-09-14,pago
461,96,2024-03-24,novo
462,49,2024-07-14,novo
463,18,2024-09-07,enviado
464,114,2024-01-26,finalizado
465,47,2023-08-21,novo
466,119,2023-10-12,enviado
467,138,2023-04-23,pago
468,170,2024-08-21,finalizado
469,99,2024-06-26,enviado
470,1,2024-06-30,finalizado
471,57,2023-07-29,pago
472,171,2023-07-26,novo
473,107,2024-07-02,enviado
474,124,2023-12-15,cancelado
475,92,2024-03-26,finalizado
476,33,2023-11-10,finalizado
477,180,2023-10-11,finalizado
478,155,2024-02-09,cancelado
479,200,2024-06-04,pago
480,172,2023-08-02,enviado
481,59,2024-06-01,novo
482,51,2023-06-06,enviado
483,50,2023-09-15,pago
484,184,2024-08-07,novo
485,112,2024-09-02,pago
486,91,2024-08-14,enviado
487,194,2023-07-22,pago
488,121,2024-06-23,finalizado
489,182,2024-08-22,enviado
490,197,2024-09-18,finalizado
491,16,2023-01-14,cancelado
492,73,2024-04-21,novo
493,147,2024-09-29,pago
494,163,2024-05-04,cancelado
495,30,2023-05-30,enviado
496,64,2024-05-03,pago
497,110,2023-03-09,enviado
498,160,2023-11-04,finalizado
499,23,2024-02-05,pago
500,121,2023-10-20,novo
501,60,2024-03-23,pago
502,44,2023-06-03,finalizado
503,104,2024-01-23,cancelado
504,83,2024-02-17,finalizado
505,128,2024-02-10,finalizado
506,64,2023-07-05,novo
507,165,2023-07-15,pago
508,16,2023-06-14,novo
509,173,2023-10-23,novo
510,6,2024-01-11,finalizado
511,148,2023-08-21,finalizado
512,70,2023-09-20,novo
513,77,2023-07-03,cancelado
514,4,2023-05-21,enviado
515,141,2024-02-25,novo
516,34,2024-06-06,finalizado
517,132,2023-07-06,finalizado
518,146,2024-07-04,enviado
519,170,2024-01-01,cancelado
520,142,2023-04-18,pago
521,61,2023-08-23,cancelado
522,148,2023-01-05,enviado
523,166,2023-01-26,finalizado
524,64,2023-08-04,novo
525,25,2023-10-18,novo
526,179,2024-05-25,finalizado
527,30,2023-03-27,pago
528,119,2024-06-21,pago
529,48,2023-05-31,cancelado
530,26,2023-03-30,novo
531,156,2024-03-23,enviado
532,29,2024-05-10,pago
533,135,2024-01-23,novo
534,139,2023-03-16,finalizado
535,13,2023-03-15,novo
536,35,2023-09-07,novo
537,159,2023-10-16,cancelado
538,102,2024-10-01,finalizado
539,25,2023-07-03,novo
540,199,2023-05-04,cancelado
541,53,2024-08-28,enviado
542,1,2023-04-09,finalizado
543,185,2023-01-17,novo
544,4,2023-09-28,finalizado
545,111,2023-09-14,cancelado
546,199,2024-02-01,finalizado
547,116,2024-07-15,pago
548,117,2024-08-20,finalizado
549,78,2023-07-05,cancelado
550,26,2024-09-19,novo
551,115,2024-02-09,finalizado
552,180,2023-02-14,cancelado
553,19,2024-08-23,pago
554,177,2023-03-30,enviado
555,84,2024-01-12,pago
556,108,2024-05-21,enviado
557,34,2023-06-09,finalizado
558,125,2023-06-23,finalizado
559,37,2023-11-01,pago
560,55,2024-07-20,finalizado
561,145,2023-05-24,enviado
562,11,2024-02-29,cancelado
563,90,2023-10-17,cancelado
564,119,2023-03-13,enviado
565,27,2024-03-30,enviado
566,59,2024-06-16,enviado
567,69,2024-01-04,finalizado
568,133,2023-04-23,pago
569,196,2023-04-10,pago
570,168,2023-09-29,pago
571,38,2023-11-21,novo
572,4,2023-12-20,pago
573,11,2023-06-05,novo
574,120,2023-11-17,novo
575,32,2023-07-08,cancelado
576,47,2024-03-15,novo
577,170,2024-05-24,enviado
578,175,2024-02-22,cancelado
579,168,2023-01-01,cancelado
580,51,2024-09-26,enviado
581,124,2023-01-16,novo
582,123,2024-10-01,finalizado
583,38,2023-01-21,finalizado
584,111,2023-11-27,cancelado
585,106,2023-03-09,novo
586,80,2023-03-02,novo
587,151,2024-03-13,pago
588,136,2024-04-10,novo
589,107,2023-03-17,finalizado
590,146,2024-09-17,pago
591,153,2023-07-25,pago
592,114,2023-07-23,finalizado
593,54,2023-07-10,finalizado
594,152,2023-10-23,pago
595,144,2023-04-24,pago
596,197,2023-09-29,enviado
597,30,2023-05-15,cancelado
598,84,2023-02-02,finalizado
599,185,2023-08-24,finalizado
600,103,2024-03-06,finalizado
